Airport ID,City,PageRank
16603,"Deer Harbor, WA",5.169229293673557
11924,"Gulkana, AK",5.097933287604572
13934,"Port Lions, AK",5.092876637325384
12127,"Hawthorne, CA",5.089832304151004
12441,"Jackson, WY",5.0231588003532
11511,"Egegik, AK",5.0039353910930995
12721,"Larsen Bay, AK",4.97359503858474
14229,"Port Protection, AK",4.950729037339141
11003,"Cedar Rapids/Iowa City, IA",4.944105769347835
14485,"Red Dog, AK",4.878297283376214
11637,"Fargo, ND",4.855380610388219
14474,"Ruby, AK",4.832873607795431
14627,"Russian Mission, AK",4.802796308184821
12217,"Huntsville, AL",4.788808851105838
11646,"Friday Harbor, WA",4.77775708384746
15380,"Traverse City, MI",4.775432447122029
14082,"Punta Gorda, FL",4.768276567223757
15862,"Tuntutuliak, AK",4.656825971362166
14457,"Rapid City, SD",4.643765200933271
13369,"Marshall, AK",4.567974738063513
10135,"Allentown/Bethlehem/Easton, PA",4.557973284926833
15293,"Togiak, AK",4.514640649211259
10590,"Bullhead City, AZ",4.480320383886487
11492,"Eek, AK",4.424233350316846
10661,"Boulder City, NV",4.379546857458693
10961,"Craig, AK",4.3767086109138695
12945,"Lexington, KY",4.351448140128723
12615,"Kaltag, AK",4.3452048857209045
10620,"Billings, MT",4.32743112437221
14234,"Pilot Station, AK",4.302916096861263
14814,"Shreveport, LA",4.2963853818403095
12391,"Islip, NY",4.278750932046908
12815,"Thorne Bay, AK",4.277825431386697
15024,"Charlotte Amalie, VI",4.21621718587985
10431,"Asheville, NC",4.198530402166051
12779,"Kipnuk, AK",4.132213849783783
15236,"Tok, AK",4.119637423933038
13898,"Miami, FL",4.102336463012272
14856,"Shaktoolik, AK",4.090192176622984
13486,"Missoula, MT",4.075270436248909
13894,"Toksook, AK",4.065777792158145
11921,"Grand Junction, CO",4.064971793611937
12851,"Kwigillingok, AK",4.063920692873438
14955,"Saipan, TT",4.048280680032448
15721,"Stebbins, AK",4.046095194468354
10785,"Burlington, VT",4.025895842916713
12755,"New Stuyahok, AK",4.001714841410942
13768,"Nulato, AK",3.997890629781239
11624,"Key West, FL",3.99336165168524
